Id,SalePrice
1461,122498.55946134945
1462,141901.82712274845
1463,179808.56488647027
1464,189798.5596113303
1465,218034.1499854074
1466,183164.53133460975
1467,175390.7221292504
1468,178602.10353481804
1469,171586.75057631475
1470,139222.17909867645
1471,209406.15485020398
1472,95427.81585422352
1473,102873.92105815068
1474,156494.57701957473
1475,137894.15938652566
1476,387651.1700258962
1477,258376.2095226872
1478,332597.6129918216
1479,316297.3455200528
1480,416569.17301703384
1481,316219.0970341484
1482,212856.60093304393
1483,188517.9128321855
1484,192673.33332285777
1485,196496.93805076322
1486,205351.01555787216
1487,353105.0600750977
1488,218614.95208418963
1489,205132.58539443804
1490,205613.36737272033
1491,197918.74534929745
1492,88010.85453131568
1493,195338.02495620467
1494,289807.28913215076
1495,297500.0133578026
1496,225614.6487243427
1497,181979.06284705058
1498,161509.6657374165
1499,164363.53850383434
1500,168170.0584169934
1501,164728.9579256306
1502,187578.72707241206
1503,324836.13314663863
1504,236070.16548146092
1505,212498.38218715697
1506,169237.05969195938
1507,193751.11931091524
1508,175674.60063385076
1509,162875.15510992252
1510,151996.2243461215
1511,149369.2160947983
1512,167678.4032599629
1513,149940.9180901399
1514,128911.53730986199
1515,200313.3081292052
1516,154908.04450720258
1517,139715.61333052794
1518,134786.60741301838
1519,213016.80630616366
1520,138280.24753730727
1521,136476.56696986457
1522,161204.62375821703
1523,115404.9620352778
1524,123951.86488902348
1525,129714.7614624249
1526,123684.1885741983
1527,106543.93875199802
1528,129729.95813755636
1529,152936.8113613427
1530,170107.30985275435
1531,139413.69335044065
1532,107675.26171452642
1533,136249.14396465715
1534,120329.65948589584
1535,134679.52155583724
1536,119564.5179796182
1537,125614.24876818189
1538,176795.679933845
1539,218519.90981536458
1540,106908.76634154384
1541,131851.7399381512
1542,125777.12806911097
1543,148485.2292804433
1544,90918.79080243071
1545,112068.15230611237
1546,144913.0999470759
1547,144881.56992205142
1548,116745.17308337706
1549,130781.554977695
1550,143718.23768959302
1551,110601.60784436842
1552,138618.66683889012
1553,135287.9878003448
1554,119656.83121572061
1555,157791.82487770423
1556,105077.30524258308
1557,92586.00568187983
1558,111179.5946139252
1559,116075.23640290502
1560,152908.73252431137
1561,130520.38412626823
1562,129274.0270061582
1563,129133.53111691128
1564,151482.7975279239
1565,163034.314447717
1566,222244.12575915374
1567,93121.34726680048
1568,207038.87045807595
1569,153262.47657791985
1570,137776.97067668976
1571,123136.04674939389
1572,133390.58444898718
1573,205219.39059913694
1574,131407.51272548604
1575,229074.89878735706
1576,201656.47827626005
1577,206896.9252470571
1578,136714.29926092023
1579,144497.98430203876
1580,195436.84142204665
1581,153163.69326161037
1582,135891.1292064453
1583,289461.0834503481
1584,244819.9776671626
1585,142294.70844341128
1586,95202.92281877558
1587,117568.53274029701
1588,143005.13020397024
1589,100129.27933859431
1590,127360.10950200919
1591,107707.40180937578
1592,116593.61356490779
1593,136045.63048548906
1594,115499.58682595563
1595,120890.22649405392
1596,201941.24589823608
1597,148178.12748737045
1598,200407.83224721707
1599,247471.11443824694
1600,221557.03651158727
1601,96987.66693503338
1602,116366.69311806238
1603,110679.93287103421
1604,284746.95995979215
1605,284232.03337296564
1606,171405.16229301423
1607,137510.58200073667
1608,265971.0561698069
1609,201487.96085375376
1610,181873.77662568534
1611,156394.0422818255
1612,168475.99231607307
1613,161264.20739062014
1614,139125.6153206568
1615,98313.32477518448
1616,98540.50800595875
1617,99360.34270668779
1618,126957.53607554114
1619,141944.2866639387
1620,136631.33726135764
1621,157944.24388150132
1622,147625.22668771615
1623,257177.14169296352
1624,195815.009076513
1625,125545.34204018301
1626,175197.08988773852
1627,187401.0459354009
1628,271041.4229744614
1629,181001.0485691588
1630,249879.08903219458
1631,185290.1289089119
1632,219206.11187030538
1633,198637.92612115692
1634,189976.10161810834
1635,196726.4477664265
1636,169688.3737528534
1637,180418.02394718002
1638,196245.7387924409
1639,171991.90354306213
1640,211912.72708271092
1641,171890.27246541757
1642,232105.85305200733
1643,232943.45454570613
1644,228215.60920715384
1645,198987.42809375128
1646,170241.12033259578
1647,166137.2853663158
1648,143540.5343629487
1649,139649.42720055045
1650,123496.59426066803
1651,122444.68856820837
1652,98034.62805264095
1653,101063.3370574435
1654,157118.53305144192
1655,158196.36259093127
1656,150758.01208988408
1657,147341.4546153203
1658,179839.81551893434
1659,139042.08705423673
1660,162905.61129982665
1661,409777.860236339
1662,370988.5613716529
1663,346712.44151829864
1664,428969.2928662374
1665,343655.7965972092
1666,334875.6099051394
1667,354214.3554712127
1668,352292.4806908875
1669,345404.0148356654
1670,347147.71829504595
1671,213067.65369256542
1672,345640.64021649864
1673,291879.10420542915
1674,262132.69103578056
1675,194545.06975208767
1676,195088.73983238428
1677,213038.90322046698
1678,394137.0938608927
1679,324750.95372063405
1680,277706.714338019
1681,265820.77088973287
1682,318809.7140854998
1683,201192.9051211283
1684,185986.48879597013
1685,186010.09722203677
1686,179953.49605368974
1687,189365.76547105116
